"files" "churn" "linecount" "relchurn"
"94" "bootstrap/lib/kernel/ebin/hipe_unified_loader.beam" 23 241 0.0954356846473029
"95" "bootstrap/lib/kernel/ebin/inet_config.beam" 10 150 0.0666666666666667
"96" "bootstrap/lib/kernel/ebin/inet_db.beam" 15 766 0.0195822454308094
"97" "bootstrap/lib/kernel/ebin/inet_dns.beam" 9 495 0.0181818181818182
"98" "bootstrap/lib/kernel/ebin/inet_gethost_native.beam" 12 164 0.0731707317073171
"99" "bootstrap/lib/kernel/ebin/inet_hosts.beam" 3 20 0.15
"100" "bootstrap/lib/kernel/ebin/inet_parse.beam" 11 158 0.069620253164557
"101" "bootstrap/lib/kernel/ebin/inet_res.beam" 9 222 0.0405405405405405
"102" "bootstrap/lib/kernel/ebin/inet_sctp.beam" 7 52 0.134615384615385
"103" "bootstrap/lib/kernel/ebin/inet_tcp_dist.beam" 9 101 0.0891089108910891
"104" "bootstrap/lib/kernel/ebin/inet_tcp.beam" 5 26 0.192307692307692
"105" "bootstrap/lib/kernel/ebin/inet_udp.beam" 6 20 0.3
"106" "bootstrap/lib/kernel/ebin/inet.beam" 21 434 0.0483870967741935
"107" "bootstrap/lib/kernel/ebin/inet6_sctp.beam" 5 37 0.135135135135135
"108" "bootstrap/lib/kernel/ebin/inet6_tcp_dist.beam" 11 89 0.123595505617978
"109" "bootstrap/lib/kernel/ebin/inet6_tcp.beam" 5 30 0.166666666666667
"110" "bootstrap/lib/kernel/ebin/inet6_udp.beam" 5 13 0.384615384615385
"111" "bootstrap/lib/kernel/ebin/kernel_config.beam" 9 60 0.15
"112" "bootstrap/lib/kernel/ebin/kernel.app" 15 119 0.126050420168067
"113" "bootstrap/lib/kernel/ebin/kernel.appup" 8 27 0.296296296296296
"114" "bootstrap/lib/kernel/ebin/kernel.beam" 6 84 0.0714285714285714
"115" "bootstrap/lib/kernel/ebin/net_adm.beam" 5 58 0.0862068965517241
"116" "bootstrap/lib/kernel/ebin/net_kernel.beam" 17 633 0.0268562401263823
"117" "bootstrap/lib/kernel/ebin/net.beam" 3 2 1.5
"118" "bootstrap/lib/kernel/ebin/os.beam" 12 84 0.142857142857143
"120" "bootstrap/lib/kernel/ebin/pg2.beam" 10 151 0.0662251655629139
